0:51,56,59
1:52,72,52
2:56,57,95
3:56,93,54
4:67,64,66
5:50,71,76
6:50,76,61
7:62,57,54
8:65,55,83
9:84,77,66
10:96,93,94
11:85,71,66
12:63,96,54
13:87,70,99
14:91,67,92
15:100,92,63
16:51,68,90
17:57,89,66
18:53,85,90
19:75,54,80
20:67,60,83
21:85,51,64
22:95,97,56
23:90,72,79
24:81,96,70
25:70,96,72
26:91,86,50
27:54,74,62
28:68,81,86
29:65,80,84
30:97,99,52
31:97,65,94
32:64,78,65
33:77,62,62
34:60,68,80
35:66,59,82
36:79,83,86
37:51,92,95
38:87,77,96
39:64,82,61
40:87,62,76
41:52,85,98
42:60,78,92
43:82,62,72
44:94,54,79
45:55,65,52
46:61,53,98
47:74,86,91
48:91,96,80
49:68,77,89
50:82,89,76
51:91,79,80
52:71,98,95
53:65,82,88
54:64,52,93
55:69,97,92
56:72,73,74
57:67,85,74
58:60,79,80
59:69,83,62
60:67,91,59
61:80,56,76
62:93,55,99
63:69,53,51
64:100,80,72
65:72,82,74
66:67,68,56
67:73,71,61
68:80,75,89
69:60,57,75
70:94,64,77
71:67,50,61
72:54,51,51
73:60,82,50
74:84,54,52
75:69,59,90
76:85,50,56
77:71,88,99
78:72,59,98
79:84,84,98
80:89,99,61
81:88,98,58
82:100,54,58
83:100,86,81
84:64,89,93
85:84,88,66
86:72,74,82
87:92,64,83
88:77,70,69
89:88,86,68
90:71,75,81
91:52,79,81
92:72,61,86
93:78,76,79
94:73,88,69
95:76,71,96
96:71,85,80
97:74,55,79
98:50,54,53
99:60,52,83
